type,id,x,y,z,value
SENSE,0,54,110,41.2,101.6661469
SENSE,1,150,104,41.2,73.47917476
SENSE,2,257,97,41.2,60.70292631
SENSE,3,358,89,41.2,70.23737884
SENSE,4,459,116,41.2,96.4237992
SENSE,5,548,103,41.2,64.58011674
SENSE,6,644,114,41.2,92.75030083
SENSE,7,759,101,41.2,50.78850049
SENSE,8,840,102,41.2,107.6607395
SENSE,9,951,98,41.2,81.98479942
SENSE,10,1052,94,41.2,38.8887861
SENSE,11,1159,88,41.2,37.41678698
SENSE,12,1243,81,41.2,35.17367301
SENSE,13,1359,114,41.2,54.02440033
SENSE,14,1440,90,41.2,56.24686691
SENSE,15,1547,112,41.2,37.46511157
SENSE,16,41,305,41.2,66.03806434
SENSE,17,141,280,41.2,79.30101897
SENSE,18,254,300,41.2,112.5716248
SENSE,19,344,299,41.2,90.97079559
SENSE,20,440,319,41.2,66.93763246
SENSE,21,543,289,41.2,74.23694037
SENSE,22,642,317,41.2,119.283482
SENSE,23,757,313,41.2,52.68353416
SENSE,24,841,297,41.2,74.44654165
SENSE,25,956,313,41.2,102.9333694
SENSE,26,1048,310,41.2,92.0597378
SENSE,27,1148,303,41.2,131.0922039
SENSE,28,1250,295,41.2,67.06581585
SENSE,29,1349,298,41.2,70.91453369
SENSE,30,1440,316,41.2,106.1136024
SENSE,31,1549,304,41.2,112.716386
SENSE,32,40,497,41.2,66.00370666
SENSE,33,156,492,41.2,78.21730628
SENSE,34,249,493,41.2,66.61531548
SENSE,35,358,499,41.2,25.89560445
SENSE,36,442,516,41.2,78.8888592
SENSE,37,540,492,41.2,81.85699254
SENSE,38,641,497,41.2,92.04911035
SENSE,39,747,506,41.2,61.68411754
SENSE,40,852,492,41.2,109.3639729
SENSE,41,950,511,41.2,77.25444222
SENSE,42,1050,492,41.2,56.87540448
SENSE,43,1144,486,41.2,68.29559369
SENSE,44,1252,497,41.2,76.39168167
SENSE,45,1353,517,41.2,77.3857091
SENSE,46,1440,512,41.2,117.5316312
SENSE,47,1554,518,41.2,68.3727147
SENSE,48,40,692,41.2,53.20937873
SENSE,49,143,680,41.2,66.4253466
SENSE,50,252,693,41.2,54.06055237
SENSE,51,345,694,41.2,45.14449982
SENSE,52,446,680,41.2,29.73190357
SENSE,53,557,708,41.2,74.87032158
SENSE,54,655,683,41.2,36.60491381
SENSE,55,756,682,41.2,49.52099952
